symbol,side,setup_type,previous_leg_start_time,previous_leg_end_time,previous_leg_end_price,corrective_leg_start_time,corrective_leg_end_time,corrective_leg_end_price,current_leg_start_time,current_leg_end_time,current_leg_end_price,continuation_level,h4_breakout_time,h4_breakout_open,h4_breakout_high,h4_breakout_low,h4_breakout_close,entry_time,entry,m15_entry_open,m15_entry_high,m15_entry_low,m15_entry_close,exit_time,exit,sl,tp,result,search_start,search_end,pnl_points
USDJPY,sell,bearish_bullish_bearish,2025-06-23 08:00:00+00:00,2025-06-26 08:00:00+00:00,143.75,2025-06-26 08:00:00+00:00,2025-06-27 12:00:00+00:00,144.945,2025-06-27 12:00:00+00:00,2025-07-01 12:00:00+00:00,142.679,143.75,2025-07-01 04:00:00+00:00,143.88,143.933,143.067,143.069,2025-07-01 05:00:00+00:00,143.65,143.749,143.749,143.641,143.65,2025-07-01 06:15:00+00:00,143.75,143.75,143.25,SL,2025-06-27 12:00:00+00:00,2025-07-01 12:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-06-26 08:00:00+00:00,2025-06-27 12:00:00+00:00,144.945,2025-06-27 12:00:00+00:00,2025-07-01 12:00:00+00:00,142.679,2025-07-01 12:00:00+00:00,2025-07-16 04:00:00+00:00,149.184,144.945,2025-07-03 12:00:00+00:00,143.863,145.232,143.725,144.968,2025-07-03 12:30:00+00:00,145.054,143.737,145.08,143.725,145.054,2025-07-03 12:45:00+00:00,144.954,144.954,145.454,SL,2025-07-01 12:00:00+00:00,2025-07-16 04:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-07-01 12:00:00+00:00,2025-07-16 04:00:00+00:00,149.184,2025-07-16 04:00:00+00:00,2025-07-24 00:00:00+00:00,145.853,2025-07-24 00:00:00+00:00,2025-08-01 00:00:00+00:00,150.916,149.184,2025-07-30 16:00:00+00:00,149.076,149.438,148.52,149.412,2025-07-30 18:45:00+00:00,149.347,149.083,149.351,149.041,149.347,2025-07-30 19:00:00+00:00,149.247,149.247,149.747,SL,2025-07-24 00:00:00+00:00,2025-08-01 00:00:00+00:00,-99.99999999999432
USDJPY,sell,bearish_bullish_bearish,2025-08-01 00:00:00+00:00,2025-08-05 00:00:00+00:00,146.617,2025-08-05 00:00:00+00:00,2025-08-12 12:00:00+00:00,148.517,2025-08-12 12:00:00+00:00,2025-08-14 04:00:00+00:00,146.213,146.617,2025-08-14 00:00:00+00:00,147.119,147.119,146.374,146.548,2025-08-14 01:00:00+00:00,146.462,146.691,146.691,146.423,146.462,2025-08-14 01:30:00+00:00,146.56199999999998,146.56199999999998,146.06199999999998,SL,2025-08-12 12:00:00+00:00,2025-08-14 04:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-08-14 04:00:00+00:00,2025-08-19 00:00:00+00:00,148.112,2025-08-19 00:00:00+00:00,2025-08-20 12:00:00+00:00,146.87,2025-08-20 12:00:00+00:00,2025-08-22 04:00:00+00:00,148.777,148.112,2025-08-21 12:00:00+00:00,147.923,148.4,147.581,148.356,2025-08-21 14:15:00+00:00,148.119,147.95,148.121,147.95,148.119,2025-08-22 01:15:00+00:00,148.519,148.019,148.519,TP,2025-08-20 12:00:00+00:00,2025-08-22 04:00:00+00:00,400.0000000000057
USDJPY,buy,bullish_bearish_bullish,2025-08-20 12:00:00+00:00,2025-08-22 04:00:00+00:00,148.777,2025-08-22 04:00:00+00:00,2025-08-22 12:00:00+00:00,146.572,2025-08-22 12:00:00+00:00,2025-09-03 04:00:00+00:00,149.136,148.777,2025-09-03 00:00:00+00:00,148.582,148.917,148.511,148.913,2025-09-03 01:15:00+00:00,148.803,148.745,148.837,148.738,148.803,2025-09-03 04:30:00+00:00,148.703,148.703,149.203,SL,2025-08-22 12:00:00+00:00,2025-09-03 04:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-09-09 08:00:00+00:00,2025-09-11 12:00:00+00:00,148.179,2025-09-11 12:00:00+00:00,2025-09-17 16:00:00+00:00,145.481,2025-09-17 16:00:00+00:00,2025-09-25 20:00:00+00:00,149.955,148.179,2025-09-22 00:00:00+00:00,148.105,148.376,148.09,148.336,2025-09-22 01:45:00+00:00,148.191,148.161,148.197,148.133,148.191,2025-09-22 06:15:00+00:00,148.091,148.091,148.591,SL,2025-09-17 16:00:00+00:00,2025-09-25 20:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-09-17 16:00:00+00:00,2025-09-25 20:00:00+00:00,149.955,2025-09-25 20:00:00+00:00,2025-10-01 12:00:00+00:00,146.587,2025-10-01 12:00:00+00:00,2025-10-09 20:00:00+00:00,153.272,149.955,2025-10-06 00:00:00+00:00,149.58,150.1,149.447,150.062,2025-10-06 03:15:00+00:00,149.96,149.939,149.97,149.914,149.96,2025-10-06 04:00:00+00:00,149.86,149.86,150.36,SL,2025-10-01 12:00:00+00:00,2025-10-09 20:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-10-17 04:00:00+00:00,2025-10-27 04:00:00+00:00,153.255,2025-10-27 04:00:00+00:00,2025-10-29 00:00:00+00:00,151.537,2025-10-29 00:00:00+00:00,2025-11-04 00:00:00+00:00,154.482,153.255,2025-10-30 04:00:00+00:00,152.96,153.541,152.561,153.404,2025-10-30 06:30:00+00:00,153.501,153.047,153.517,152.967,153.501,2025-10-30 06:45:00+00:00,153.401,153.401,153.901,SL,2025-10-29 00:00:00+00:00,2025-11-04 00:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-11-06 20:00:00+00:00,2025-11-11 00:00:00+00:00,154.492,2025-11-11 00:00:00+00:00,2025-11-11 12:00:00+00:00,153.667,2025-11-11 12:00:00+00:00,2025-11-12 12:00:00+00:00,155.044,154.492,2025-11-12 04:00:00+00:00,154.345,154.79,154.341,154.619,2025-11-12 04:15:00+00:00,154.529,154.423,154.593,154.397,154.529,2025-11-12 13:15:00+00:00,154.929,154.429,154.929,TP,2025-11-11 12:00:00+00:00,2025-11-12 12:00:00+00:00,400.0000000000057
USDJPY,buy,bullish_bearish_bullish,2025-11-11 12:00:00+00:00,2025-11-12 12:00:00+00:00,155.044,2025-11-12 12:00:00+00:00,2025-11-14 12:00:00+00:00,153.615,2025-11-14 12:00:00+00:00,2025-11-20 12:00:00+00:00,157.892,155.044,2025-11-17 12:00:00+00:00,154.795,155.301,154.735,155.196,2025-11-17 15:00:00+00:00,155.277,155.032,155.298,155.003,155.277,2025-11-17 15:15:00+00:00,155.177,155.177,155.677,SL,2025-11-14 12:00:00+00:00,2025-11-20 12:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-12-05 04:00:00+00:00,2025-12-09 16:00:00+00:00,156.953,2025-12-09 16:00:00+00:00,2025-12-16 12:00:00+00:00,154.393,2025-12-16 12:00:00+00:00,2025-12-19 20:00:00+00:00,157.778,156.953,2025-12-19 08:00:00+00:00,156.732,157.4,156.719,157.318,2025-12-19 09:00:00+00:00,156.954,156.929,156.963,156.859,156.954,2025-12-19 10:30:00+00:00,157.354,156.854,157.354,TP,2025-12-16 12:00:00+00:00,2025-12-19 20:00:00+00:00,400.0000000000057
USDJPY,buy,bullish_bearish_bullish,2025-12-25 04:00:00+00:00,2025-12-26 16:00:00+00:00,156.732,2025-12-26 16:00:00+00:00,2025-12-30 08:00:00+00:00,155.742,2025-12-30 08:00:00+00:00,2026-01-05 04:00:00+00:00,157.296,156.732,2025-12-31 12:00:00+00:00,156.607,156.994,156.551,156.742,2025-12-31 13:30:00+00:00,156.777,156.651,156.798,156.649,156.777,2025-12-31 16:00:00+00:00,156.677,156.677,157.177,SL,2025-12-30 08:00:00+00:00,2026-01-05 04:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-12-30 08:00:00+00:00,2026-01-05 04:00:00+00:00,157.296,2026-01-05 04:00:00+00:00,2026-01-05 16:00:00+00:00,156.116,2026-01-05 16:00:00+00:00,2026-01-14 00:00:00+00:00,159.452,157.296,2026-01-09 04:00:00+00:00,157.238,157.571,157.193,157.48,2026-01-09 05:15:00+00:00,157.303,157.293,157.308,157.273,157.303,2026-01-09 09:45:00+00:00,157.703,157.203,157.703,TP,2026-01-05 16:00:00+00:00,2026-01-14 00:00:00+00:00,400.0000000000057
USDJPY,sell,bearish_bullish_bearish,2026-01-14 00:00:00+00:00,2026-01-19 00:00:00+00:00,157.42,2026-01-19 00:00:00+00:00,2026-01-23 04:00:00+00:00,159.226,2026-01-23 04:00:00+00:00,2026-01-27 20:00:00+00:00,152.094,157.42,2026-01-23 16:00:00+00:00,158.112,158.225,155.68,155.892,2026-01-23 17:00:00+00:00,157.025,157.566,157.62,157.003,157.025,2026-01-23 17:15:00+00:00,156.625,157.125,156.625,TP,2026-01-23 04:00:00+00:00,2026-01-27 20:00:00+00:00,400.0000000000057
