symbol,side,setup_type,previous_leg_start_time,previous_leg_end_time,previous_leg_end_price,corrective_leg_start_time,corrective_leg_end_time,corrective_leg_end_price,current_leg_start_time,current_leg_end_time,current_leg_end_price,continuation_level,h4_breakout_time,h4_breakout_open,h4_breakout_high,h4_breakout_low,h4_breakout_close,entry_time,entry,m15_entry_open,m15_entry_high,m15_entry_low,m15_entry_close,exit_time,exit,sl,tp,result,search_start,search_end,pnl_points
USDCAD,buy,bullish_bearish_bullish,2025-06-05 12:00:00+00:00,2025-06-10 04:00:00+00:00,1.37282,2025-06-10 04:00:00+00:00,2025-06-16 12:00:00+00:00,1.35394,2025-06-16 12:00:00+00:00,2025-06-23 08:00:00+00:00,1.37979,1.37282,2025-06-19 12:00:00+00:00,1.37068,1.37461,1.37032,1.37365,2025-06-19 14:00:00+00:00,1.37337,1.37261,1.37344,1.37241,1.37337,2025-06-19 17:30:00+00:00,1.37237,1.37237,1.37737,SL,2025-06-16 12:00:00+00:00,2025-06-23 08:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2025-06-23 08:00:00+00:00,2025-06-26 16:00:00+00:00,1.36173,2025-06-26 16:00:00+00:00,2025-06-27 16:00:00+00:00,1.3759,2025-06-27 16:00:00+00:00,2025-07-03 12:00:00+00:00,1.35558,1.36173,2025-06-30 20:00:00+00:00,1.3621,1.36239,1.35996,1.36059,2025-06-30 20:15:00+00:00,1.36135,1.36229,1.36238,1.36116,1.36135,2025-07-01 12:15:00+00:00,1.36235,1.36235,1.35735,SL,2025-06-27 16:00:00+00:00,2025-07-03 12:00:00+00:00,-99.99999999998897
USDCAD,buy,bullish_bearish_bullish,2025-07-10 20:00:00+00:00,2025-07-11 00:00:00+00:00,1.37302,2025-07-11 00:00:00+00:00,2025-07-11 12:00:00+00:00,1.36513,2025-07-11 12:00:00+00:00,2025-07-17 12:00:00+00:00,1.37741,1.37302,2025-07-17 04:00:00+00:00,1.3715,1.37452,1.37092,1.37434,2025-07-17 07:00:00+00:00,1.37322,1.37235,1.37362,1.37235,1.37322,2025-07-17 12:30:00+00:00,1.37722,1.3722200000000002,1.37722,TP,2025-07-11 12:00:00+00:00,2025-07-17 12:00:00+00:00,400.00000000000034
USDCAD,sell,bearish_bullish_bearish,2025-07-11 00:00:00+00:00,2025-07-11 12:00:00+00:00,1.36513,2025-07-11 12:00:00+00:00,2025-07-17 12:00:00+00:00,1.37741,2025-07-17 12:00:00+00:00,2025-07-23 08:00:00+00:00,1.3575,1.36513,2025-07-22 12:00:00+00:00,1.36738,1.3683,1.36158,1.36162,2025-07-22 14:30:00+00:00,1.36501,1.36615,1.36621,1.36501,1.36501,2025-07-22 16:00:00+00:00,1.36101,1.36601,1.36101,TP,2025-07-17 12:00:00+00:00,2025-07-23 08:00:00+00:00,400.00000000000034
USDCAD,buy,bullish_bearish_bullish,2025-07-11 12:00:00+00:00,2025-07-17 12:00:00+00:00,1.37741,2025-07-17 12:00:00+00:00,2025-07-23 08:00:00+00:00,1.3575,2025-07-23 08:00:00+00:00,2025-08-01 08:00:00+00:00,1.38787,1.37741,2025-07-29 12:00:00+00:00,1.37689,1.37879,1.37492,1.37783,2025-07-29 12:15:00+00:00,1.3777,1.37769,1.37773,1.37738,1.3777,2025-07-29 13:15:00+00:00,1.3767,1.3767,1.3817,SL,2025-07-23 08:00:00+00:00,2025-08-01 08:00:00+00:00,-99.99999999998897
USDCAD,buy,bullish_bearish_bullish,2025-08-07 04:00:00+00:00,2025-08-12 08:00:00+00:00,1.38057,2025-08-12 08:00:00+00:00,2025-08-14 00:00:00+00:00,1.3744,2025-08-14 00:00:00+00:00,2025-08-18 12:00:00+00:00,1.38309,1.38057,2025-08-14 12:00:00+00:00,1.37837,1.38126,1.37809,1.38065,2025-08-14 13:15:00+00:00,1.38078,1.38024,1.38083,1.37961,1.38078,2025-08-14 14:15:00+00:00,1.37978,1.37978,1.38478,SL,2025-08-14 00:00:00+00:00,2025-08-18 12:00:00+00:00,-99.99999999998897
USDCAD,buy,bullish_bearish_bullish,2025-08-14 00:00:00+00:00,2025-08-18 12:00:00+00:00,1.38309,2025-08-18 12:00:00+00:00,2025-08-18 12:00:00+00:00,1.37825,2025-08-18 12:00:00+00:00,2025-08-22 12:00:00+00:00,1.39242,1.38309,2025-08-19 12:00:00+00:00,1.38087,1.38603,1.38056,1.38593,2025-08-19 12:30:00+00:00,1.38312,1.38086,1.38328,1.38067,1.38312,2025-08-20 00:30:00+00:00,1.38712,1.38212,1.38712,TP,2025-08-18 12:00:00+00:00,2025-08-22 12:00:00+00:00,400.00000000000034
USDCAD,sell,bearish_bullish_bearish,2025-08-22 12:00:00+00:00,2025-08-24 20:00:00+00:00,1.38125,2025-08-24 20:00:00+00:00,2025-08-26 04:00:00+00:00,1.38674,2025-08-26 04:00:00+00:00,2025-08-31 20:00:00+00:00,1.372,1.38125,2025-08-27 16:00:00+00:00,1.38255,1.38256,1.37824,1.37878,2025-08-27 16:30:00+00:00,1.38062,1.38154,1.38155,1.38036,1.38062,2025-08-28 10:15:00+00:00,1.37662,1.3816199999999998,1.37662,TP,2025-08-26 04:00:00+00:00,2025-08-31 20:00:00+00:00,400.00000000000034
USDCAD,buy,bullish_bearish_bullish,2025-08-31 20:00:00+00:00,2025-09-04 12:00:00+00:00,1.3845,2025-09-04 12:00:00+00:00,2025-09-05 12:00:00+00:00,1.37575,2025-09-05 12:00:00+00:00,2025-09-11 12:00:00+00:00,1.38911,1.3845,2025-09-05 16:00:00+00:00,1.38243,1.38537,1.38174,1.38506,2025-09-05 17:15:00+00:00,1.38461,1.38448,1.38474,1.38444,1.38461,2025-09-05 20:30:00+00:00,1.38361,1.38361,1.38861,SL,2025-09-05 12:00:00+00:00,2025-09-11 12:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2025-09-04 12:00:00+00:00,2025-09-05 12:00:00+00:00,1.37575,2025-09-05 12:00:00+00:00,2025-09-11 12:00:00+00:00,1.38911,2025-09-11 12:00:00+00:00,2025-09-17 16:00:00+00:00,1.37261,1.37575,2025-09-16 08:00:00+00:00,1.37682,1.37766,1.37474,1.3751,2025-09-16 11:30:00+00:00,1.37507,1.376,1.37601,1.37487,1.37507,2025-09-16 12:30:00+00:00,1.37607,1.37607,1.37107,SL,2025-09-11 12:00:00+00:00,2025-09-17 16:00:00+00:00,-99.99999999998897
